spot	row	col	min	max	mean	std_deviation	mean_minus_min	normalized_mean
0	0	0	2069.0	7005.0	4290.007299270073	1603.6864539533244	1919.8978102189785	0.0958385756953349
0	0	1	3390.0	7269.0	5911.7226277372265	1101.5752406141946	3541.6131386861316	0.17679230481379096
0	0	2	3222.0	7192.0	5625.14598540146	1259.5115798229206	3255.0364963503653	0.16248680528000137
0	0	3	2184.0	5876.0	3196.5839416058393	1093.9119738374463	826.4744525547444	0.04125643248293203
0	0	4	2005.0	3259.0	2370.109489051095	264.9777093519632	0.0	0.0
0	0	5	2215.0	3717.0	2946.116788321168	374.31152615587285	576.007299270073	0.028753467428489807
0	0	6	5990.0	10901.0	9275.7299270073	1180.6322801516244	6905.620437956205	0.3447187780222696
0	0	7	5511.0	10776.0	8650.284671532847	1316.2647907045925	6280.175182481752	0.31349743793790347
0	0	8	5559.0	11086.0	9072.12408759124	1483.1580299624152	6702.014598540146	0.33455506329275353
0	0	9	5574.0	10073.0	8470.547445255474	1157.0391597598111	6100.437956204379	0.30452521052341996
0	0	10	5778.0	9685.0	8158.19708029197	856.7386590970508	5788.087591240876	0.28893312331092097
0	0	11	6419.0	12331.0	10352.416058394161	1526.1561607821045	7982.306569343066	0.39846542263731166
0	0	12	9435.0	16710.0	14048.795620437957	1626.9065699460493	11678.686131386861	0.5829834477999205
0	0	13	5535.0	15258.0	9205.445255474453	2156.020291838469	6835.335766423358	0.3412102669040897
0	0	14	5077.0	8502.0	7289.591240875912	730.706855146445	4919.481751824817	0.24557355175081227
0	0	15	5450.0	9397.0	7303.343065693431	788.3515698068996	4933.233576642336	0.24626002334149155
0	0	16	4001.0	8227.0	6317.540145985401	1101.8834478145252	3947.430656934306	0.19705013975381028
0	0	17	4914.0	8923.0	7538.343065693431	1123.045402924017	5168.233576642336	0.2579908900410243
0	0	18	5427.0	8358.0	7333.335766423358	696.1363042386196	4963.226277372263	0.24775721642328627
0	0	19	4205.0	7181.0	6317.795620437956	802.5569902678172	3947.6861313868612	0.19706289267614244
0	0	20	4369.0	8581.0	7009.985401459854	1264.013449210615	4639.875912408759	0.2316160248120857
0	0	21	6098.0	11214.0	9542.080291970802	1365.6912710849263	7171.970802919707	0.3580146104765621
0	0	22	4680.0	9196.0	7743.189781021898	1313.0366999756861	5373.080291970803	0.26821654753615365
0	0	23	4478.0	6249.0	5589.248175182482	427.09051219063997	3219.1386861313867	0.16069483750772917
0	1	0	3073.0	5411.0	4629.21897810219	639.7479135350716	2259.109489051095	0.11277154159875735
0	1	1	5323.0	10953.0	8979.51094890511	1558.747933235048	6609.401459854015	0.32993194676274357
0	1	2	6400.0	12509.0	9916.897810218978	1628.9152935613658	7546.788321167883	0.3767249693838772
0	1	3	7470.0	11846.0	10140.313868613139	1002.8905704763431	7770.204379562044	0.3878775821479492
0	1	4	6939.0	11268.0	9871.94890510949	1090.7543620139545	7501.839416058395	0.37448118379183737
0	1	5	5585.0	9280.0	7927.19708029197	1049.6730362034593	5557.087591240876	0.27740193093818877
0	1	6	4284.0	8282.0	7205.671532846715	1075.5568196047889	4835.56204379562	0.24138439894930494
0	1	7	4710.0	9329.0	7686.656934306569	1374.4669845924457	5316.5474452554745	0.26539450800865305
0	1	8	5085.0	7608.0	6900.065693430657	543.8639698596186	4529.956204379562	0.22612898888637475
0	1	9	5016.0	7697.0	6738.503649635037	617.2362633270942	4368.394160583942	0.21806404080352157
0	1	10	5473.0	6911.0	6388.824817518248	314.23199788883545	4018.715328467153	0.2006085694536903
0	1	11	6002.0	9469.0	8543.941605839416	739.616581575562	6173.832116788321	0.30818894292484267
0	1	12	5450.0	8298.0	7182.489051094891	667.4448987698879	4812.379562043796	0.2402271623399645
0	1	13	6295.0	11473.0	9244.963503649635	1168.579022780125	6874.85401459854	0.3431829618042689
0	1	14	5488.0	7865.0	6917.350364963504	498.1934509576292	4547.240875912409	0.22699181517444725
0	1	15	3288.0	4323.0	3861.007299270073	237.18386068587867	1490.897810218978	0.07442350414597505
0	1	16	3727.0	5640.0	4823.240875912409	423.69532487021166	2453.1313868613142	0.1224568395562129
0	1	17	4019.0	5977.0	5331.430656934306	473.9341570616242	2961.3211678832113	0.14782495265933043
0	1	18	4122.0	5295.0	4819.605839416058	298.0204631166101	2449.4963503649633	0.12227538368988682
0	1	19	4664.0	8829.0	6934.941605839416	1117.4109634646206	4564.832116788321	0.2278699449693183
0	1	20	4616.0	6784.0	5830.978102189781	643.6312708004904	3460.8686131386858	0.17276165261841178
0	1	21	6014.0	11516.0	8813.56204379562	1542.2871187895034	6443.4525547445255	0.32164801278498684
0	1	22	7346.0	15480.0	11304.905109489051	2181.0630937390965	8934.795620437955	0.44601232515288014
0	1	23	7123.0	11277.0	9557.21897810219	739.4726232387081	7187.109489051095	0.35877031221704453
0	2	0	5019.0	7271.0	6373.109489051095	503.3227195178311	4003.0	0.1998240825456582
0	2	1	3689.0	5057.0	4597.14598540146	310.0385777738461	2227.0364963503653	0.11117050329225801
0	2	2	4615.0	6055.0	5414.445255474453	312.85697069644044	3044.335766423358	0.15196892367886103
0	2	3	4504.0	7071.0	6112.8978102189785	725.6790662045602	3742.7883211678836	0.18683468459654676
0	2	4	5586.0	7497.0	6804.576642335766	493.8127134055948	4434.467153284671	0.22136231088782565
0	2	5	7634.0	12281.0	10934.576642335767	1102.2435991210605	8564.467153284673	0.42752605330940163
0	2	6	5988.0	8807.0	7535.175182481752	537.290956583694	5165.065693430657	0.25783275380410564
0	2	7	6204.0	8750.0	7969.671532846715	600.8458634376483	5599.56204379562	0.2795221953682115
0	2	8	5759.0	8788.0	7724.890510948905	785.0783183002687	5354.78102189781	0.26730307392796204
0	2	9	4987.0	7436.0	6303.401459854014	506.39837636596786	3933.2919708029194	0.19634435659502802
0	2	10	5971.0	7727.0	7062.8175182481755	403.61227789467085	4692.708029197081	0.23425332915037483
0	2	11	6590.0	8492.0	7677.153284671533	486.9003535347041	5307.043795620438	0.26492009929789695
0	2	12	5450.0	8440.0	7048.591240875912	655.4072550122661	4678.481751824817	0.23354317356107865
0	2	13	4710.0	6651.0	5803.080291970803	489.9338799686041	3432.970802919708	0.17136903349974075
0	2	14	4432.0	6245.0	5509.211678832116	420.5444375809161	3139.1021897810215	0.15669952912567056
0	2	15	3240.0	4047.0	3719.6569343065694	203.08367001993958	1349.5474452554745	0.06736749440419987
0	2	16	3534.0	4554.0	4112.919708029197	237.3742719343963	1742.810218978102	0.0869986143038963
0	2	17	4184.0	6027.0	5126.525547445255	433.9553223190143	2756.4160583941602	0.13759638021052523
0	2	18	5073.0	7255.0	6429.605839416058	556.9296655041745	4059.4963503649633	0.20264430022711133
0	2	19	5901.0	7959.0	7113.941605839416	429.97205392128063	4743.832116788321	0.23680537109364327
0	2	20	4843.0	6327.0	5814.138686131387	348.02753403755435	3444.029197080292	0.1719210528521182
0	2	21	3367.0	4245.0	3878.124087591241	203.98862588156993	1508.014598540146	0.07527794994222926
0	2	22	4498.0	6398.0	5767.970802919708	444.6090473928925	3397.8613138686133	0.16961641760209353
0	2	23	4655.0	6238.0	5626.1824817518245	403.81639353901227	3256.0729927007296	0.16253854570774892
0	3	0	4702.0	7910.0	6561.554744525547	875.5232294404437	4191.445255474452	0.20923100242706327
0	3	1	7707.0	12958.0	10835.401459854014	1322.8603004133195	8465.291970802919	0.4225753688600599
0	3	2	6691.0	10175.0	8849.459854014598	690.8129270755466	6479.350364963503	0.323439980557259
0	3	3	6678.0	10171.0	8752.671532846716	644.2707586361983	6382.562043795621	0.3186084448394207
0	3	4	5257.0	6853.0	6230.956204379562	344.40528170723553	3860.8467153284673	0.1927279921908391
0	3	5	3761.0	4759.0	4485.051094890511	172.94981085852126	2114.9416058394163	0.10557488534211902
0	3	6	4367.0	5851.0	5351.737226277372	364.4918555951437	2981.6277372262775	0.14883862780013185
0	3	7	3596.0	5544.0	4743.934306569343	478.06051494215484	2373.824817518248	0.11849796809510327
0	3	8	3413.0	4963.0	4278.810218978102	378.73824060266827	1908.7007299270072	0.0952796333279771
0	3	9	4390.0	5428.0	5065.160583941606	257.697789074284	2695.051094890511	0.13453312826634226
0	3	10	5027.0	8049.0	6708.92700729927	599.4410219116945	4338.8175182481755	0.21658761676666782
0	3	11	16208.0	26355.0	22402.729927007298	2675.8358960707455	20032.620437956204	1.0
0	3	12	8920.0	13606.0	12184.883211678833	1199.9814218273489	9814.773722627739	0.48993958394137455
0	3	13	11490.0	20206.0	16167.649635036496	2427.1988411700167	13797.5401459854	0.6887536350383261
0	3	14	9347.0	15697.0	13301.569343065694	1703.0360467136868	10931.4598540146	0.5456829718244222
0	3	15	5763.0	9529.0	7961.664233576642	956.7441977672803	5591.554744525547	0.2791224823454009
0	3	16	4990.0	7526.0	6432.233576642336	718.168885417606	4062.124087591241	0.20277547314252775
0	3	17	4488.0	6226.0	5398.759124087591	497.7050645292357	3028.649635036496	0.15118589424766685
0	3	18	6355.0	10063.0	8705.919708029198	1005.8855336175636	6335.810218978103	0.3162746600526368
0	3	19	4572.0	6598.0	5597.0	521.6335343108676	3226.890510948905	0.16108179760820765
0	3	20	4975.0	7731.0	6483.729927007299	730.2423902945397	4113.620437956204	0.20534609791548017
0	3	21	5188.0	6879.0	6197.124087591241	405.8654957809566	3827.014598540146	0.19103914090485263
0	3	22	5632.0	7245.0	6559.065693430657	395.6247331451486	4188.956204379562	0.2091067525266272
