row	col	adjusted_average	adjusted_average_std_deviation	relative_adjusted_average_std_deviation	normalized_average	normalized_average_std_deviation	relative_normalized_average_std_deviation
0	0	1794.6185897435898	1413.9455128205132	78.78807903257783	0.09599206112419985	0.07056163668427086	73.50778372492107
0	1	2242.538461538462	1625.8461538461538	72.50025726340341	0.12100090378603945	0.07980348772442573	65.95280301834663
0	2	2233.8846153846152	1565.5833333333335	70.08344668078489	0.12093604137724072	0.07629094749857104	63.083714854361396
0	3	635.3750000000001	302.32371794871796	47.58193475486412	0.0399651362803614	0.02267674159279266	56.74130930947396
0	4	682.974358974359	682.974358974359	100.00000000000001	0.045625311804795746	0.045625311804795746	100.0
0	5	1004.0544871794872	57.53525641025758	5.730292244585372	0.06002562133186247	0.010892653159132931	18.146672899745482
0	6	3707.0897435897436	3198.7756410256416	86.28805511269123	0.19621732085277588	0.1622599853840035	82.69401736748259
0	7	3551.8782051282046	3147.301282051282	88.60949335219902	0.18738785953179715	0.1603605663078908	85.5768173608279
0	8	3873.2596153846157	3389.7083333333335	87.51565012242885	0.20465863269907902	0.17235554880244516	84.21611467319296
0	9	3386.6570512820513	2838.477564102564	83.81355186312801	0.17988083807764899	0.1432603417165314	79.64180245518445
0	10	3243.4583333333335	2517.6634615384614	77.62280882921145	0.17377028759562335	0.12528440097801752	72.09771170406522
0	11	4425.224358974358	3831.724358974358	86.58825063193956	0.23412945827059	0.19448137748932767	83.06574445004696
0	12	6132.419871794872	5618.195512820513	91.61465832860767	0.32215805821389615	0.287805894904194	89.33686045286066
0	13	3576.785256410256	3068.5096153846152	85.78959583568184	0.18945304482798384	0.1554982787377858	82.07747670615286
0	14	2811.2980769230767	2178.0993589743593	77.4766424397891	0.15064763691527847	0.10834752921549319	71.92116081875609
0	15	2665.567307692308	2148.7660256410263	80.61195901675812	0.14221602827312402	0.10769171659893836	75.7240361066179
0	16	2204.7019230769233	1780.8108974358975	80.77331809782996	0.11760098077957763	0.08928343128156997	75.92065192799376
0	17	2762.2788461538466	2155.5608974358975	78.03560094728547	0.14790588038222396	0.10737478983089953	72.59670105976689
0	18	2739.8076923076924	2050.403846153847	74.83750965115466	0.14735521514690514	0.1013003888904255	68.74571001062604
0	19	2394.74358974359	1545.269230769231	64.52754430108679	0.13063534966947857	0.0738871980161905	56.55988076974037
0	20	2531.926282051282	1729.2596153846162	68.29818180897541	0.13740778663935765	0.08378656871109043	60.976579828767484
0	21	3787.4198717948716	2966.7467948717945	78.33160555990436	0.2027134382812947	0.14788932295045512	72.95486880610102
0	22	2904.2532051282055	2045.195512820513	70.42070261674135	0.15715490949910146	0.0997665543510303	63.48293837527279
0	23	2008.9903846153848	1248.8301282051282	62.16207592472937	0.10994609023013793	0.05916446385632336	53.812249014476976
1	0	1270.080128205128	1005.0288461538463	79.13113699165964	0.06790265987559162	0.050196215660012186	73.92378406380482
1	1	3619.310897435897	2969.8878205128194	82.05672031703158	0.19271168976664438	0.14932773253823306	77.48763591822313
1	2	4414.602564102564	3680.358974358975	83.36784389801912	0.23462625967344475	0.18557596622900008	79.0942865846673
1	3	4359.028846153846	3368.919871794871	77.28601921887741	0.23364700124314608	0.1675039168326365	71.69101933318741
1	4	4332.1891025641025	3115.2339743589737	71.90900259905906	0.23394318087935906	0.15264590163715444	65.24913488111955
1	5	3041.262820512821	2472.2115384615386	81.28898041257321	0.16210717187743187	0.12409235940995057	76.54958011590996
1	6	2670.240384615385	2315.8108974358984	86.72668239078641	0.14124936103244845	0.11757210923977163	83.23726803462313
1	7	2917.185897435898	2528.391025641026	86.67226274003968	0.15432401378041438	0.12835102223152872	83.16983150409612
1	8	2502.4839743589746	2137.458333333334	85.41346738817202	0.13262018901269707	0.10823507342277845	81.61281794917063
1	9	2326.8493589743584	1962.310897435897	84.33338797234623	0.1234995247379857	0.09914695461000925	80.28124385122743
1	10	2216.669871794872	1705.5416666666663	76.9416180716916	0.1188719136813331	0.08472658534686853	71.27552903203026
1	11	3162.3974358974356	2735.3653846153848	86.49657230192935	0.16733749214838495	0.13881011006680288	82.95218739367405
1	12	2636.5705128205127	2198.166666666667	83.37219338447139	0.14012697599423857	0.11083991431416473	79.09962626947862
1	13	3529.8685897435894	3180.5544871794864	90.1040479643046	0.18583379749338041	0.16249827305109615	87.44279848066093
1	14	2454.8493589743593	2061.7596153846152	83.98721525812982	0.13035652235479203	0.10409661686510059	79.85531907776758
1	15	1007.1858974358976	525.4743589743592	52.17252945182377	0.055869603717272204	0.023689421762446157	42.40127043378782
1	16	1462.4903846153848	1053.4134615384614	72.02874443618957	0.07896311642734787	0.05163520591023903	65.39155019007816
1	17	1686.7371794871794	1292.7371794871797	76.64129274011805	0.09049128393834169	0.06417056982238993	70.91353667400058
1	18	1443.1410256410259	927.9166666666671	64.29840536578868	0.0787492274847344	0.04433026033209835	56.29294629041511
1	19	2568.6025641025644	1891.634615384615	73.64450389566309	0.1383754950984473	0.09315143458101731	67.31786904519814
1	20	1969.1025641025642	1429.9743589743591	72.62061332117976	0.10622944207958786	0.07021360614297444	66.09618272340158
1	21	3332.557692307692	2846.8782051282046	85.42622417908781	0.17660712816257906	0.14416187198482944	81.62856929088304
1	22	4562.903846153846	3972.4871794871797	87.06050605987811	0.24125331480575005	0.20181121254020043	83.65116670114679
1	23	3601.916666666666	2997.8910256410254	83.23043821042573	0.1914706793713913	0.15111944532027355	78.9256327999707
2	0	2043.2916666666667	1669.2852564102566	81.69588726084577	0.10885080940109079	0.0838657439140544	77.04650463831459
2	1	1427.541666666667	842.2083333333334	58.997110417092316	0.0784616060126703	0.03935908994870135	50.16350282499378
2	2	1907.525641025641	1067.0128205128203	55.93701062592833	0.1052775610886455	0.04912807464318805	46.66528568402281
2	3	3105.5256410256416	719.9038461538454	23.181384711287958	0.1789716664209765	0.019602962736701673	10.953109578022064
2	4	4018.1185897435894	475.6698717948705	11.838124265646044	0.2349588672648979	0.0016903204902995192	0.7194112356669706
2	5	6908.996794871795	1282.90064102564	18.568551688689062	0.40053946279097086	0.024694618998482413	6.165339821052731
2	6	2715.9775641025644	2257.2596153846152	83.11039256064244	0.14440021172312734	0.11375608992601831	78.77834012053528
2	7	2996.833333333334	2520.99358974359	84.12191501285544	0.15910669624812254	0.12731877275565187	80.02100210609724
2	8	2882.5256410256407	2428.7628205128203	84.25815146083607	0.15300867103162882	0.12269557084085242	80.18863899255076
2	9	2143.3589743589746	1630.3846153846157	76.06680144991687	0.11508015943769737	0.08081150093166256	70.22192298526721
2	10	2435.253205128205	2110.413461538461	86.660945855417	0.128831020646488	0.10713047743703437	83.15580898097527
2	11	2849.9294871794878	2289.1346153846157	80.32250010684024	0.15211374085078722	0.11465048831727287	75.3715526789502
2	12	2411.211538461538	2012.3205128205125	83.45682163185333	0.12813452633552333	0.10148707291086288	79.20353382749981
2	13	1861.7211538461543	1372.8301282051282	73.73983613867094	0.10028123419089754	0.06762143490218717	67.43179364292777
2	14	1719.224358974359	1246.4358974358975	72.49989746419637	0.09276443107803686	0.06118034495246705	65.9523744623625
2	15	938.522435897436	463.30448717948735	49.3653075790847	0.05225698458300168	0.020510599377483528	39.249488926988874
2	16	1090.4230769230771	695.9871794871794	63.82726064924221	0.059540397579840934	0.0331905638400462	55.74461237941715
2	17	1578.7403846153848	1170.8429487179485	74.16310877504986	0.08498876605898016	0.057739649818152314	67.93797874189912
2	18	2260.9294871794873	1732.8717948717956	76.64422109128027	0.12129547091811928	0.08601918778116498	70.91706485828509
2	19	2625.580128205129	2084.8621794871797	79.40577235067707	0.1403184457037381	0.10419640878605028	74.25710017202283
2	20	1984.9102564102564	1453.9807692307695	73.25171324673984	0.10698894640464289	0.07152081633413486	66.84879021393105
2	21	990.5032051282053	548.9391025641028	55.42022476273069	0.05470462732968673	0.025206448376751307	46.07736055825838
2	22	1963.6410256410256	1401.7628205128206	71.38590008095898	0.10611536611386893	0.06857974275050954	64.62753252617426
2	23	1838.8589743589741	1348.378205128205	73.32689585933306	0.09910631827150182	0.06634031800171707	66.93853546246943
3	0	2140.3397435897436	1797.4807692307695	83.98109574025212	0.11365652201115334	0.09075222493960255	79.84779345148083
3	1	4264.682692307692	3692.041666666667	86.57248224647729	0.225640539237144	0.1873859181027205	83.04621090529366
3	2	3567.772435897436	2815.0737179487187	78.9028383543923	0.19080550593694437	0.14052233900655958	73.64689939974693
3	3	3500.9006410256407	2575.753205128205	73.57401621011444	0.1886185398161731	0.12681513581779177	67.23365367019875
3	4	2462.5480769230767	1418.625	57.608012338689214	0.135603151198311	0.06586507793248092	48.57193756224545
3	5	1329.375	852.2019230769233	64.10545730714985	0.07256035277318905	0.04068335749013987	56.06830167613562
3	6	1606.871794871795	1279.525641025641	79.62835897108572	0.08584914741688797	0.06398116637033724	74.52743363849768
3	7	1399.0705128205132	979.6153846153849	70.01901445556803	0.0757483378183249	0.047727123315895764	63.00748596010737
3	8	1411.6955128205132	521.8044871794872	36.9629627947844	0.07990719949312443	0.02045905918792506	25.603524235241718
3	9	1553.397435897436	1090.801282051282	70.22036066520859	0.08408059769408718	0.053177396890728146	63.24574081193496
3	10	2420.201923076923	2042.4711538461534	84.39259279859833	0.12844362095973402	0.10320975398074514	80.35412985834502
3	11	9860.84294871795	9403.59935897436	95.36303749971967	0.5152728144758789	0.4847271855241211	94.0719502186763
3	12	5002.339743589743	4611.1025641025635	92.17891627635785	0.26258067697557097	0.2364445298872122	90.04643167601006
3	13	6864.913461538461	6469.016025641025	94.2330309316279	0.3592999223255801	0.3328524521999589	92.63916620008179
3	14	5459.884615384615	5096.076923076924	93.33671463893998	0.2861271452709813	0.26182339333591803	91.5059607811604
3	15	2894.833333333333	2538.923076923077	87.70532823731052	0.15291880830656288	0.12914263543877239	84.451766835558
3	16	2273.291666666667	1687.0096153846157	74.20999426168143	0.12237079883922493	0.08320490477042125	67.9940848304331
3	17	1719.9551282051284	1305.0448717948716	75.87668133858588	0.09237132436992378	0.06465372476903393	69.99328548123022
3	18	3412.0192307692305	2777.6282051282046	81.4071673477056	0.1818394152136002	0.13945965677800914	76.69385463772578
3	19	2021.6730769230771	1196.8846153846157	59.202678664852996	0.11108574748380794	0.05598670864550966	50.39954261789559
3	20	2338.551282051282	1724.0448717948714	73.7227737970582	0.12596856439176163	0.08491717467912525	67.41140147873183
3	21	2186.016025641026	1670.6121794871797	76.42268674573374	0.11731254216835467	0.08288158458237146	70.65023317236489
3	22	2289.5384615384614	1829.8525641025635	79.92233346772385	0.12227134732393997	0.09156256283270903	74.88472551964891
3	23	2543.3750000000005	2088.176282051283	82.10257166368635	0.135414357721951	0.1050053340643978	77.54372271218635
4	0	1778.0160256410259	1539.6249999999998	86.59230163265377	0.09407061006510128	0.07814517343132978	83.07076288465616
4	1	1708.1730769230771	1405.6602564102561	82.29027113237638	0.09092266355238748	0.07071364460536164	77.7733975694829
4	2	2081.355769230769	1518.5608974358975	72.96017912387606	0.11223266010630031	0.07463579988691821	66.50096310309982
4	3	2113.128205128205	1548.1346153846157	73.26269232636025	0.11389831354727505	0.07615457051939088	66.8618947441938
4	4	2471.3397435897436	1270.0705128205125	51.39198348243581	0.13723133345917699	0.056981932445557146	41.52253789948627
4	5	2105.7692307692305	1635.2051282051284	77.6535768645358	0.11281306462802221	0.08137757423000404	72.13488481881933
4	6	2324.051282051282	1735.064102564103	74.65687680663741	0.12502583123822292	0.08567922420968782	68.52921781134614
4	7	2172.519230769231	1801.5064102564104	82.92246092655047	0.11553660250912735	0.09075152032113018	78.547852672023
4	8	3206.9775641025635	2837.4455128205122	88.47724862754191	0.16922338314660634	0.14453722203372282	85.41208628863264
4	9	2574.3237179487187	2270.4775641025644	88.19704951138523	0.13589369981220514	0.1155956090746008	85.06325843975492
4	10	4122.88141025641	3654.714743589744	88.64467298278294	0.21750170230627736	0.18622636983939556	85.62064933963548
4	11	3072.503205128205	2694.9775641025644	87.7127665678094	0.1623024704408093	0.13708230681421713	84.4610106315111
4	12	2232.88141025641	1757.3237179487182	78.70206227149869	0.1194485334734347	0.08767945209050951	73.4035400359347
4	13	1792.5512820512818	1489.1858974358975	83.07633440376489	0.09530901020231869	0.0750430366968941	78.73656072767447
4	14	2157.9391025641025	1816.2660256410256	84.16669513439491	0.11456125720749878	0.09173618264199142	80.07609629827516
4	15	2189.429487179487	1945.6153846153848	88.86403494646483	0.11546710317338527	0.09917938416062616	85.89406110907495
4	16	2347.432692307692	2113.721153846154	90.04395145269179	0.12359367096745517	0.1079808420602333	87.36761455096429
4	17	3238.2660256410254	2932.9006410256407	90.57009577973334	0.17036966647631244	0.14997008528502004	88.02628330898993
4	18	4557.6826923076915	4029.862179487179	88.41910355647728	0.24051611278507837	0.20525567414933274	85.33967715200278
4	19	4013.3493589743584	3535.586538461538	88.09565831979013	0.21188745740757223	0.17997106498638257	84.9371016049348
4	20	4791.2692307692305	4356.403846153847	90.92379568606361	0.2519491104026346	0.22289843155140385	88.46962435993305
4	21	3984.3012820512818	3669.7179487179487	92.10442908144304	0.20916433999680373	0.18814896440718487	89.95269672165917
4	22	3995.871794871794	3657.2051282051284	91.52458627172918	0.2099443124299802	0.18732007762303687	89.22369720566311
4	23	4174.897435897436	3780.9871794871797	90.56479201085857	0.2196487929495807	0.19333407405030245	88.01963873968627
5	0	3045.0	2865.4102564102564	94.10214306766031	0.1594007021718548	0.14740341714854843	92.47350553677502
5	1	2669.3878205128203	2642.4006410256407	98.98901241401502	0.13876652186287405	0.1369636745631839	98.70080529836174
5	2	2986.538461538462	2844.032051282052	95.22837518780857	0.1560898426815734	0.14656986683373202	93.900963903678
5	3	2926.0384615384614	2727.480769230769	93.21411201808692	0.15336677621695063	0.14010235932671236	91.35117969000365
5	4	2264.794871794872	2131.538461538462	94.11618191492975	0.1185558891913274	0.10965384889062446	92.4912711115205
5	5	3892.3525641025644	3749.25641025641	96.32365898285097	0.20311423603008483	0.1935548630441029	95.29359774439149
5	6	1920.6698717948718	1920.6698717948718	100.0	0.09970025818125795	0.09970025818125795	100.00000000000001
5	7	2168.939102564102	2155.227564102564	99.36782280123364	0.11268980715540826	0.11177382369364167	99.18716387498705
5	8	2133.8237179487182	1953.2467948717951	91.53740200945397	0.11210970680005627	0.10004647439334076	89.23979666789258
5	9	2717.477564102564	2271.432692307692	83.58606975501648	0.14438369431770973	0.11458618276085902	79.36227376805954
5	10	2782.576923076923	2159.2179487179483	77.59778106440717	0.14908346727225125	0.10744069225774498	72.06747617530277
5	11	2892.3525641025644	2205.75641025641	76.2616714722954	0.15525277332506487	0.109385511704515	70.45639788700328
5	12	3925.1602564102564	2709.2435897435894	69.02249622341077	0.21280694308472792	0.13157903706403157	61.83023690709382
5	13	3603.782051282051	3079.044871794871	85.43926430566178	0.19097701947874418	0.15592255935871133	81.6446710626697
5	14	2401.294871794872	2049.326923076923	85.34257692163948	0.1272703076065301	0.10375749604261358	81.5252968220923
5	15	1183.0929487179487	1032.7275641025644	87.29048425330174	0.06253312498459244	0.05248813944805268	83.93653677308666
5	16	1419.4134615384614	1374.4839743589746	96.83464414020781	0.07401509189008834	0.07101362948544976	95.94479675969906
5	17	3328.9679487179487	3199.5448717948716	96.11221619081913	0.17376761522748424	0.16512165632469455	95.02441298312633
5	18	5261.323717948718	4982.374999999999	94.69812669011222	0.27518805036866995	0.2565532040282144	93.22832284487266
5	19	4613.25641025641	4319.71794871795	93.63706598042434	0.2416561102390084	0.22204661295933797	91.88537080222147
5	20	1659.7019230769229	1521.2211538461538	91.65628675213924	0.08718496220184889	0.07793391464479262	89.38917065119736
5	21	1603.3814102564102	1504.0416666666665	93.80435977651398	0.08396991704936521	0.07733364042150329	92.09684031965816
5	22	1717.4198717948718	1644.4775641025642	95.75279703640113	0.0896929603524835	0.08482013388617127	94.56721414126308
5	23	925.3205128205129	898.3782051282053	97.08832698302737	0.0482332109284125	0.0464333612370591	96.26844313967668
6	0	3472.7724358974365	592.1891025641021	17.052344013179432	0.21054178053095193	0.06101327161672738	28.979175279539238
6	1	4047.5096153846157	1054.7852564102552	26.060105018676378	0.2481012773241397	0.09275162789362588	37.38458297917088
6	2	5468.339743589744	642.3910256410203	11.747460029235794	0.31979724922313263	0.0025946709377119917	0.8113487354925957
