spot	row	col	min	max	mean	std_deviation	mean_minus_min	normalized_mean
0	0	0	1973.0	5411.0	2977.905109489051	876.4626672631608	153.07299270073008	0.007944598820679227
0	0	1	2817.0	10589.0	4760.591240875912	2000.6707829344186	1935.7591240875913	0.10046729591556473
0	0	2	3167.0	12509.0	6128.868613138686	2826.943987089234	3304.036496350365	0.1714818792607367
0	0	3	2579.0	11846.0	5335.963503649635	2548.2696995988313	2511.131386861314	0.13032953170016537
0	0	4	2380.0	10874.0	4487.19708029197	2118.444937571148	1662.3649635036495	0.08627794162494719
0	0	5	2687.0	8297.0	4084.2481751824816	1333.3556836540936	1259.4160583941607	0.06536460257116934
0	0	6	3124.0	10901.0	6041.430656934306	2672.1780078838215	3216.598540145985	0.16694378621448636
0	0	7	3477.0	10355.0	6786.58394160584	2167.996641122099	3961.751824817519	0.20561777959619726
0	0	8	3792.0	10347.0	7507.598540145986	2296.5069685856733	4682.766423357665	0.24303895774258383
0	0	9	3605.0	10073.0	7173.78102189781	2176.35284740363	4348.94890510949	0.22571358757110307
0	0	10	3818.0	9685.0	7317.014598540146	1740.4003299841231	4492.1824817518245	0.23314751359552668
0	0	11	4301.0	11882.0	9078.846715328467	2385.7781776803454	6254.014598540147	0.32458787227876373
0	0	12	4564.0	15540.0	11254.21897810219	3548.0361276994786	8429.38686131387	0.4374912630627867
0	0	13	4394.0	10666.0	8299.795620437957	1655.7186423507278	5474.963503649637	0.28415455807671847
0	0	14	3290.0	8226.0	6441.270072992701	1456.4405467543609	3616.43795620438	0.18769574054185115
0	0	15	4236.0	8768.0	6992.956204379562	1082.6892707011416	4168.124087591241	0.2163286490090561
0	0	16	4264.0	8227.0	6443.087591240876	967.082547684564	3618.2554744525546	0.18779007105095172
0	0	17	4395.0	8923.0	7537.8978102189785	1197.6053943836985	4713.065693430657	0.24461151173164677
0	0	18	4814.0	8358.0	7190.204379562044	892.9798276712287	4365.3722627737225	0.22656597168948214
0	0	19	5232.0	7181.0	6574.5474452554745	425.8789004000143	3749.7153284671535	0.19461293237184407
0	0	20	5091.0	8581.0	7267.270072992701	965.3068355804681	4442.43795620438	0.23056573681030287
0	0	21	6813.0	11214.0	9670.182481751825	1141.752356860601	6845.350364963504	0.35527862542642885
0	0	22	5135.0	9196.0	7864.1021897810215	1196.1197700006242	5039.2700729927	0.2615417545095855
0	0	23	4140.0	6249.0	5535.160583941606	525.256635223883	2710.328467153285	0.1406680039626391
0	1	0	3065.0	5400.0	4432.832116788321	734.0082802199956	1608.0000000000005	0.08345636077441941
0	1	1	4061.0	10953.0	8280.751824817518	2156.8138155656893	5455.919708029198	0.28316617133678457
0	1	2	4188.0	11876.0	8709.700729927008	2244.0544562077666	5884.868613138688	0.3054289291593031
0	1	3	4467.0	11515.0	8896.934306569343	2046.8210294344235	6072.102189781022	0.3151464869462108
0	1	4	5414.0	11268.0	9443.175182481751	1661.0072772169897	6618.343065693431	0.34349678272349987
0	1	5	4742.0	9280.0	7683.3576642335765	1376.717460746364	4858.525547445255	0.252160983158784
0	1	6	4352.0	8282.0	7101.138686131387	1161.9897120537898	4276.306569343065	0.22194339790616577
0	1	7	4719.0	9329.0	7833.131386861314	1279.4221686182161	5008.299270072994	0.25993434748101557
0	1	8	4572.0	7608.0	6723.883211678832	780.6475542184555	3899.0510948905107	0.20236356645091877
0	1	9	3665.0	7697.0	6298.56204379562	1116.0392470256925	3473.7299270072995	0.18028909080921562
0	1	10	4383.0	6911.0	6238.591240875912	565.1506768727897	3413.7591240875913	0.17717656284628105
0	1	11	6689.0	9469.0	8555.744525547445	702.9017589836506	5730.912408759124	0.2974384910149243
0	1	12	4856.0	8298.0	7118.540145985401	767.1638468161434	4293.70802919708	0.22284654623426164
0	1	13	6041.0	11473.0	9206.65693430657	1248.29130530943	6381.824817518249	0.33122131490668294
0	1	14	4819.0	7865.0	6806.131386861314	674.7082683030087	3981.2992700729933	0.2066323061157614
0	1	15	3027.0	4323.0	3834.21897810219	285.16062850426607	1009.3868613138688	0.052387906752965833
0	1	16	3755.0	5640.0	4833.36496350365	406.8951641956079	2008.532846715329	0.10424430465344905
0	1	17	4365.0	5977.0	5376.138686131387	398.08494110002954	2551.306569343066	0.13241465267241365
0	1	18	3861.0	5295.0	4794.167883211679	343.21517366153216	1969.3357664233577	0.10220994789091757
