spot	row	col	min	max	mean	std_deviation	mean_minus_min	normalized_mean
0	0	0	1919.0	6825.0	3850.6642335766423	1589.04601549896	1395.715328467153	0.06996845047251107
0	0	1	2863.0	7269.0	5502.700729927007	1370.488697535661	3047.751824817518	0.15278650900928922
0	0	2	2948.0	7192.0	5210.07299270073	1421.5250491008328	2755.1240875912404	0.138116820340407
0	0	3	2306.0	6178.0	3408.3868613138684	1187.8129510115689	953.4379562043791	0.0477966925322539
0	0	4	2021.0	3554.0	2454.9489051094893	349.0420360907139	0.0	0.0
0	0	5	2202.0	3511.0	2860.4087591240877	317.5211793478953	405.4598540145985	0.020326063012698115
0	0	6	4868.0	10901.0	9119.715328467153	1481.0133402351535	6664.766423357663	0.3341106670481981
0	0	7	5854.0	10776.0	8770.321167883212	1174.6963182926856	6315.3722627737225	0.31659522710024646
0	0	8	5522.0	11086.0	9091.233576642337	1437.9169638893584	6636.284671532847	0.3326828515035242
0	0	9	5688.0	10073.0	8653.788321167884	965.2788566207553	6198.839416058394	0.3107533318745367
0	0	10	4986.0	9685.0	7890.985401459854	1170.204789677993	5436.036496350365	0.2725133432326593
0	0	11	6419.0	12331.0	10352.416058394161	1526.1561607821045	7897.467153284671	0.3959070507449011
0	0	12	9938.0	16710.0	14125.56204379562	1442.4700214099357	11670.61313868613	0.5850582140376736
0	0	13	6734.0	11307.0	9279.467153284671	913.6331566165068	6824.518248175182	0.3421191680760643
0	0	14	5736.0	8502.0	7419.598540145986	536.780564485729	4964.649635036496	0.2488823007223971
0	0	15	5450.0	9397.0	7303.343065693431	788.3515698068996	4848.394160583941	0.24305431041485687
0	0	16	4234.0	8227.0	6385.890510948905	1021.4124424687043	3930.941605839416	0.19706159805565335
0	0	17	4790.0	8923.0	7560.978102189781	1099.2658945268433	5106.029197080292	0.2559697838809798
0	0	18	5427.0	8358.0	7333.335766423358	696.1363042386196	4878.386861313869	0.24455787117166505
0	0	19	4628.0	7181.0	6402.824817518248	687.5708080948957	3947.8759124087587	0.1979105299017947
0	0	20	4499.0	8581.0	7092.751824817518	1174.4563309252167	4637.802919708029	0.23249718425407065
0	0	21	5975.0	11214.0	9453.671532846716	1462.2785509039181	6998.7226277372265	0.35085218852434424
0	0	22	5031.0	9196.0	7825.518248175183	1237.59176785228	5370.569343065694	0.2692314166257448
0	0	23	4478.0	6249.0	5589.248175182482	427.09051219063997	3134.2992700729924	0.15712520939709007
0	1	0	3073.0	5411.0	4629.21897810219	639.7479135350716	2174.2700729927005	0.10899809209885958
0	1	1	5323.0	10953.0	8979.51094890511	1558.747933235048	6524.56204379562	0.3270820968323865
0	1	2	5732.0	12509.0	9512.014598540147	1932.5129783652221	7057.065693430657	0.35377697828564075
0	1	3	7470.0	11846.0	10140.313868613139	1002.8905704763431	7685.364963503649	0.3852741793719807
0	1	4	6939.0	11268.0	9871.94890510949	1090.7543620139545	7417.0	0.37182080512403554
0	1	5	5585.0	9280.0	7927.19708029197	1049.6730362034593	5472.248175182482	0.27432866689158486
0	1	6	5228.0	8282.0	7397.510948905109	780.1238977464557	4942.56204379562	0.24777503013342136
0	1	7	4710.0	9329.0	7686.656934306569	1374.4669845924457	5231.70802919708	0.2622701754873857
0	1	8	5085.0	7608.0	6900.065693430657	543.8639698596186	4445.116788321167	0.22283765715301923
0	1	9	5335.0	7697.0	6765.043795620438	557.6364231475393	4310.094890510949	0.2160688893556388
0	1	10	4968.0	6911.0	6350.496350364963	390.3655926723878	3895.547445255474	0.19528725731343807
0	1	11	6002.0	9469.0	8543.941605839416	739.616581575562	6088.992700729927	0.30524661836049305
0	1	12	5195.0	8298.0	7208.109489051095	630.6797299323415	4753.160583941606	0.23828016653700942
0	1	13	6295.0	11473.0	9244.963503649635	1168.579022780125	6790.014598540145	0.3403894694395513
0	1	14	5488.0	7865.0	6917.350364963504	498.1934509576292	4462.401459854014	0.22370415310632213
0	1	15	3288.0	4323.0	3861.007299270073	237.18386068587867	1406.0583941605837	0.07048695755267585
0	1	16	3849.0	5640.0	4853.744525547445	375.7516590154969	2398.7956204379557	0.12025375743821641
0	1	17	4365.0	5977.0	5376.138686131387	398.08494110002954	2921.1897810218975	0.14644184121608023
0	1	18	3782.0	5295.0	4752.956204379562	381.4875078637249	2298.007299270073	0.11520114927807862
0	1	19	4961.0	8829.0	6992.810218978102	1038.9313764127082	4537.861313868612	0.22748702268623988
