spot	row	col	min	max	mean	std_deviation	mean_minus_min	normalized_mean
0	0	0	2505.0	7053.0	5068.401459854014	1419.273086829259	2754.656934306569	0.13712275056491355
0	0	1	4008.0	7269.0	6156.481751824817	859.7188417133293	3842.737226277372	0.19128577922099155
0	0	2	4029.0	7192.0	6133.518248175183	796.1268013675535	3819.7737226277372	0.19014268995138783
0	0	3	2131.0	5664.0	2965.7518248175184	931.4381178414211	652.007299270073	0.03245595963361554
0	0	4	2021.0	2926.0	2313.7445255474454	187.23746440396926	0.0	0.0
0	0	5	2345.0	3841.0	3042.7226277372265	364.25394603876146	728.9781021897811	0.0362874524333522
0	0	6	5990.0	10901.0	9275.7299270073	1180.6322801516244	6961.985401459855	0.3465573428588351
0	0	7	6675.0	10776.0	9041.459854014598	914.6534221045836	6727.715328467153	0.33489572489700026
0	0	8	6161.0	11086.0	9418.817518248175	1143.6066799885282	7105.0729927007305	0.3536800316547798
0	0	9	6381.0	10073.0	8716.525547445255	852.2611799371265	6402.78102189781	0.3187209753974197
0	0	10	6596.0	9685.0	8314.627737226278	608.0742264010411	6000.883211678833	0.2987150964449779
0	0	11	7371.0	12331.0	10687.61313868613	1101.5844420930243	8373.868613138686	0.41683880224882647
0	0	12	11941.0	16710.0	14428.883211678833	995.1456889031629	12115.138686131388	0.6030736965566708
0	0	13	5535.0	14032.0	8997.328467153284	1834.7642303636449	6683.583941605839	0.3326989296891095
0	0	14	5736.0	8502.0	7419.598540145986	536.780564485729	5105.854014598541	0.2541618659460772
0	0	15	5450.0	9397.0	7303.343065693431	788.3515698068996	4989.598540145986	0.24837484026363
0	0	16	4813.0	8227.0	6489.080291970803	888.7995130445051	4175.335766423357	0.207842042939607
0	0	17	5340.0	8923.0	7684.124087591241	925.88959960976	5370.379562043796	0.2673295567059118
0	0	18	5488.0	8358.0	7335.313868613139	687.6284345469026	5021.569343065694	0.2499662995773186
0	0	19	5128.0	7181.0	6538.58394160584	492.0236968578278	4224.839416058394	0.21030626144769748
0	0	20	5091.0	8581.0	7267.270072992701	965.3068355804681	4953.525547445255	0.24657918000603882
0	0	21	6813.0	11214.0	9670.182481751825	1141.752356860601	7356.43795620438	0.3661926079985001
0	0	22	5444.0	9196.0	8054.532846715329	962.9079506056801	5740.788321167884	0.28576795723843296
0	0	23	4478.0	6249.0	5589.248175182482	427.09051219063997	3275.5036496350363	0.16304973019677776
0	1	0	3549.0	5411.0	4737.810218978102	511.9894951364713	2424.0656934306567	0.12066640723699772
0	1	1	6233.0	10953.0	9221.102189781022	1244.6145474938837	6907.357664233577	0.3438380548443041
0	1	2	6899.0	12509.0	10270.43795620438	1251.7313589661808	7956.693430656935	0.3960724382864416
0	1	3	7626.0	11846.0	10217.678832116788	920.6236372084204	7903.934306569343	0.3934461670719801
0	1	4	7001.0	11268.0	10044.38686131387	909.038602106766	7730.642335766424	0.38481994890616245
0	1	5	5473.0	9280.0	8079.700729927007	904.7565513063811	5765.956204379561	0.28702077726436864
0	1	6	5773.0	8282.0	7506.36496350365	617.6795508894132	5192.620437956204	0.258480970252428
0	1	7	5370.0	9329.0	7904.153284671533	1162.704073741788	5590.408759124088	0.2782822849140921
0	1	8	5403.0	7608.0	7003.445255474453	395.5004075202041	4689.700729927008	0.2334463705462303
0	1	9	5129.0	7697.0	6756.328467153285	574.5343269001459	4442.583941605839	0.22114526208391785
0	1	10	5048.0	6911.0	6360.467153284671	381.46893041117056	4046.722627737226	0.2014398709973254
0	1	11	5887.0	9469.0	8518.12408759124	789.7788823578805	6204.379562043796	0.3088448439806685
0	1	12	6051.0	8298.0	7266.124087591241	519.9749774134424	4952.379562043796	0.24652213454662125
0	1	13	5765.0	11473.0	9154.620437956204	1327.3982686808301	6840.875912408759	0.3405286915043324
0	1	14	5406.0	7865.0	6896.167883211679	535.0045707520949	4582.423357664233	0.22810626152036684
0	1	15	3288.0	4323.0	3861.007299270073	237.18386068587867	1547.2627737226276	0.07702045388564964
0	1	16	4158.0	5640.0	4879.8978102189785	326.8282127615887	2566.153284671533	0.12773931751103032
0	1	17	4365.0	5977.0	5376.138686131387	398.08494110002954	3062.3941605839414	0.1524414548263547
0	1	18	4122.0	5295.0	4819.605839416058	298.0204631166101	2505.861313868613	0.12473807232128874
0	1	19	5251.0	8829.0	7027.92700729927	989.3216008594007	4714.1824817518245	0.23466503596589045
0	1	20	4067.0	6784.0	5797.058394160584	701.5709658291605	3483.3138686131383	0.17339421573575378
0	1	21	6014.0	11516.0	8813.56204379562	1542.2871187895034	6499.8175182481755	0.3235513087572774
0	1	22	7346.0	15480.0	11304.905109489051	2181.0630937390965	8991.160583941606	0.4475666841436514
0	1	23	7418.0	11277.0	9575.941605839416	701.474044281286	7262.197080291971	0.36150143649187144
0	2	0	3654.0	7271.0	6123.744525547445	862.5949566586268	3809.9999999999995	0.18965616848539943
0	2	1	4084.0	5057.0	4632.649635036496	246.72611009092878	2318.9051094890506	0.115431668804963
0	2	2	4443.0	6055.0	5391.036496350365	358.0541860233038	3077.29197080292	0.1531830457987836
0	2	3	4879.0	7071.0	6252.14598540146	569.939180709687	3938.401459854015	0.19604780336829822
0	2	4	5679.0	7497.0	6853.510948905109	453.1931174648125	4539.766423357663	0.22598286238128093
0	2	5	8062.0	12281.0	10994.496350364963	1010.7837678525656	8680.751824817518	0.4321149949258609
0	2	6	5988.0	8807.0	7535.175182481752	537.290956583694	5221.430656934306	0.2599151003691241
0	2	7	6204.0	8750.0	7969.671532846715	600.8458634376483	5655.9270072992695	0.28154368646652794
0	2	8	5925.0	8788.0	7792.80291970803	686.8863233227775	5479.058394160584	0.27273942833182724
0	2	9	4412.0	7436.0	6244.058394160584	619.0262011752976	3930.3138686131383	0.1956452150304975
0	2	10	4880.0	7727.0	6950.956204379562	608.4965666273328	4637.211678832116	0.2308335431661538
0	2	11	6051.0	8492.0	7594.978102189781	611.9621824526857	5281.233576642335	0.26289200131822243
0	2	12	4730.0	8440.0	6915.474452554745	848.03725882607	4601.7299270073	0.22906731400545968
0	2	13	3831.0	6651.0	5633.175182481752	671.1739922769459	3319.4306569343066	0.16523635169216092
0	2	14	4247.0	6245.0	5443.1021897810215	495.45865982754884	3129.357664233576	0.15577479906009428
0	2	15	2932.0	4047.0	3688.5620437956204	252.12274850445218	1374.817518248175	0.06843638395736341
0	2	16	3377.0	4554.0	4098.138686131387	266.5867087305563	1784.3941605839414	0.08882450382259079
0	2	17	4184.0	6027.0	5126.525547445255	433.9553223190143	2812.7810218978098	0.1400160817326995
0	2	18	5073.0	7255.0	6429.605839416058	556.9296655041745	4115.861313868612	0.20488149259989583
0	2	19	5901.0	7959.0	7113.941605839416	429.97205392128063	4800.197080291971	0.23894671554408836
0	2	20	4843.0	6327.0	5814.138686131387	348.02753403755435	3500.3941605839414	0.1742444474238888
0	2	21	3119.0	4245.0	3859.810218978102	242.01016425077478	1546.0656934306567	0.07696086499810513
0	2	22	4838.0	6398.0	5830.576642335766	363.02754154608726	3516.832116788321	0.17506270458699996
0	2	23	4655.0	6238.0	5626.1824817518245	403.81639353901227	3312.437956204379	0.1648882653856509
0	3	0	4448.0	7910.0	6540.58394160584	912.2927858386106	4226.839416058394	0.21040581849152185
0	3	1	7707.0	12958.0	10835.401459854014	1322.8603004133195	8521.65693430657	0.42419548643244603
