spot	row	col	min	max	mean	std_deviation	mean_minus_min	normalized_mean
0	9	17	4399.0	8481.0	6833.153284671533	983.9595272830297	4417.021897810218	0.07015164288291195
0	9	18	4081.0	6414.0	5631.970802919708	467.89816233634957	3215.8394160583944	0.05107432643609084
0	9	19	5615.0	8020.0	7025.766423357664	610.8664923789635	4609.635036496351	0.07321074660308258
0	9	20	6913.0	10096.0	9051.277372262773	811.7828122494542	6635.145985401459	0.10538014128357152
0	9	21	9039.0	14099.0	11923.335766423357	1420.769076516267	9507.204379562043	0.15099449852864388
0	9	22	9182.0	13827.0	12014.080291970802	1043.2942950830582	9597.948905109488	0.15243571337816492
0	9	23	7727.0	12549.0	10954.131386861314	1153.9517768081982	8538.0	0.13560148461823107
1	0	0	4913.0	9265.0	7488.204379562044	1203.1720889253181	4846.423357664234	0.11077609334582643
1	0	1	4665.0	9527.0	7973.160583941606	1492.6031013437007	5331.379562043796	0.12186087686562184
1	0	2	4390.0	7374.0	6415.540145985401	817.9108251281084	3773.759124087591	0.0862578982773947
1	0	3	2513.0	3594.0	2790.817518248175	223.0105253048313	149.0364963503648	0.003406570085449548
1	0	4	2495.0	3765.0	2914.3138686131388	267.8348029000014	272.53284671532856	0.006229361704399547
1	0	5	2841.0	7826.0	3645.1532846715327	948.6998370100039	1003.3722627737225	0.022934368551575383
1	0	6	7172.0	11431.0	10033.598540145986	1053.8579646725339	7391.8175182481755	0.16895690016470596
1	0	7	7915.0	12640.0	10907.0	896.4026389834373	8265.21897810219	0.1889204886721284
1	0	8	6954.0	13554.0	11171.094890510949	1440.5905747869092	8529.313868613139	0.19495698158336605
1	0	9	7129.0	11752.0	10153.445255474453	1324.7093294918568	7511.664233576643	0.17169627102536794
1	0	10	5736.0	9307.0	7972.85401459854	833.0416762767104	5331.07299270073	0.12185386952192565
1	0	11	10970.0	20838.0	16194.744525547445	2364.308069496907	13552.963503649635	0.30978398695165865
1	0	12	9505.0	15745.0	14485.985401459853	1241.2721414730454	11844.204379562043	0.27072638792120807
1	0	13	6488.0	11151.0	9944.671532846716	1016.3326741531582	7302.890510948906	0.1669242699682601
1	0	14	5162.0	7793.0	7043.810218978102	669.4816863994238	4402.029197080292	0.10061844813364405
1	0	15	5008.0	6465.0	5950.350364963504	328.60557868328647	3308.569343065694	0.07562492158448722
1	0	16	3693.0	6035.0	4929.1824817518245	689.4042208246584	2287.4014598540143	0.052283793415499435
1	0	17	4383.0	7706.0	6437.408759124088	924.4936416504579	3795.6277372262775	0.08675775546105653
1	0	18	4713.0	7829.0	6248.07299270073	778.1272449534023	3606.2919708029194	0.08243005336259066
1	0	19	4858.0	10590.0	7624.036496350365	1468.3101001249056	4982.255474452555	0.11388084712778994
1	0	20	3728.0	6402.0	5197.6423357664235	794.0816721333099	2555.8613138686133	0.05842005755364956
1	0	21	4641.0	8634.0	7023.744525547445	1050.918659954772	4381.963503649635	0.10015980080457652
1	0	22	3764.0	7631.0	5896.496350364963	1114.9940261254342	3254.715328467153	0.07439396487518919
1	0	23	2925.0	5039.0	4143.3576642335765	603.536047673677	1501.5766423357663	0.03432196942395631
1	1	0	5119.0	7100.0	6357.051094890511	540.4719250635325	3715.270072992701	0.08492099720507092
1	1	1	7184.0	13130.0	10448.313868613139	1535.4351354498485	7806.532846715329	0.17843616777049015
1	1	2	7481.0	12207.0	10697.51094890511	989.8522477146327	8055.7299270073	0.18413213714639612
1	1	3	8257.0	12346.0	11147.080291970802	839.23583990222	8505.299270072992	0.19440807299383087
1	1	4	9133.0	13347.0	11826.671532846716	928.0833674321779	9184.890510948906	0.20994168555312637
1	1	5	6631.0	11023.0	9082.131386861314	1231.1985839818035	6440.350364963504	0.14720894163750278
1	1	6	6126.0	8806.0	7812.978102189781	594.320403624189	5171.19708029197	0.11819953978436067
1	1	7	6634.0	11575.0	8838.116788321167	1222.1139716857874	6196.335766423357	0.1416314297383658
1	1	8	5483.0	7617.0	6977.087591240876	434.1499042153351	4335.306569343065	0.09909334983062248
1	1	9	6719.0	8420.0	7744.890510948905	446.8561368512788	5103.109489051095	0.1166432421177394
1	1	10	5274.0	6866.0	6208.3576642335765	348.97220387425847	3566.5766423357663	0.08152226867090044
1	1	11	6126.0	9204.0	8028.875912408759	743.3008796741365	5387.094890510949	0.12313437816164674
1	1	12	6588.0	8570.0	7582.291970802919	496.93034428117886	4940.510948905109	0.11292668049449156
1	1	13	6651.0	11079.0	9061.78102189781	1054.0231239463649	6420.0	0.1467437874892888
1	1	14	5265.0	7071.0	6158.481751824817	381.44067270928065	3516.700729927007	0.08038224058813637
1	1	15	3533.0	5099.0	4510.080291970803	315.02789461911055	1868.2992700729928	0.04270425405825305
1	1	16	3510.0	7939.0	5198.41605839416	809.2792149075672	2556.63503649635	0.058437742754406614
1	1	17	4335.0	6195.0	5451.934306569343	514.6419829868533	2810.1532846715327	0.06423248230812557
1	1	18	3714.0	5238.0	4507.620437956204	335.977264886175	1865.839416058394	0.04264802846716692
1	1	19	4142.0	7313.0	5932.715328467153	792.8490412365907	3290.934306569343	0.0752218324804395
